"","shape_id","Positive","Negative"
"1360",123999,309.25,-309.25
"1361",124001,261.34,-285.33
"1362",124002,182.65,-182.65
"1363",124003,186.99,-190.17
"1364",124004,269,-265.82
"1365",124005,62.08,-43.31
"1366",124006,48.72,-68.62
"1367",124007,68.52,-70.12
"1368",124008,267.6,-187.32
"1369",124009,280.98,-280.98
"1370",124010,278.02,-278.02
"1371",124440,156.67,-235.35
"1372",124872,4.28,-13.19
"1373",124873,11.17,-11.46
"1374",125305,398.3,-343.18
"1375",125306,352.32,-328.91
