"","trip_id","distance","end","start","trip_duration"
"184","1096933",11.0803498091,"12:37:00","12:00:00",2220
"185","1096934",11.0803498091,"11:37:00","11:00:00",2220
"186","1096935",11.0803498091,"10:37:00","10:00:00",2220
"187","1096936",11.0803498091,"9:37:00","9:00:00",2220
"188","1096937",11.0803498091,"8:37:00","8:00:00",2220
"189","1096938",11.0803498091,"7:37:00","7:00:00",2220
"190","1096939",11.0803498091,"6:37:00","6:00:00",2220
"191","1096940",10.2794647272,"24:15:00","23:42:00",1980
"192","1096941",10.2794647272,"22:55:00","22:22:00",1980
"193","1096942",10.2794647272,"21:25:00","20:52:00",1980
"194","1096943",10.2794647272,"19:50:00","19:17:00",1980
"195","1096944",10.2794647272,"18:50:00","18:17:00",1980
"196","1096945",10.2794647272,"17:50:00","17:17:00",1980
"197","1096946",10.2794647272,"16:50:00","16:17:00",1980
"198","1096947",10.2794647272,"15:50:00","15:17:00",1980
"199","1096948",10.2794647272,"14:50:00","14:17:00",1980
"200","1096949",11.0488462994,"13:55:00","13:18:00",2220
"201","1096950",11.0488462994,"12:55:00","12:18:00",2220
"202","1096951",11.0488462994,"11:55:00","11:18:00",2220
"203","1096952",11.0488462994,"10:55:00","10:18:00",2220
"204","1096953",11.0488462994,"9:55:00","9:18:00",2220
"205","1096954",11.0488462994,"8:55:00","8:18:00",2220
"206","1096955",11.0488462994,"7:55:00","7:18:00",2220
"207","1096956",7.3281388885,"6:55:00","6:26:00",1740
"208","1096957",10.331535617,"20:33:00","20:00:00",1980
"209","1096958",10.331535617,"19:33:00","19:00:00",1980
"210","1096959",10.331535617,"18:33:00","18:00:00",1980
"211","1096960",10.331535617,"17:33:00","17:00:00",1980
"212","1096961",10.331535617,"16:33:00","16:00:00",1980
"213","1096962",10.331535617,"15:33:00","15:00:00",1980
"214","1096963",10.331535617,"14:33:00","14:00:00",1980
"215","1096964",10.331535617,"13:33:00","13:00:00",1980
"216","1096965",10.331535617,"12:33:00","12:00:00",1980
"217","1096966",10.331535617,"11:33:00","11:00:00",1980
"218","1096967",10.331535617,"10:33:00","10:00:00",1980
"219","1096968",10.331535617,"9:33:00","9:00:00",1980
"220","1096969",10.331535617,"8:33:00","8:00:00",1980
"221","1096970",10.331535617,"7:33:00","7:00:00",1980
"222","1096971",10.2794647272,"20:50:00","20:17:00",1980
"223","1096972",10.2794647272,"19:50:00","19:17:00",1980
"224","1096973",10.2794647272,"18:50:00","18:17:00",1980
"225","1096974",10.2794647272,"17:50:00","17:17:00",1980
"226","1096975",10.2794647272,"16:50:00","16:17:00",1980
"227","1096976",10.2794647272,"15:50:00","15:17:00",1980
"228","1096977",10.2794647272,"14:50:00","14:17:00",1980
"229","1096978",10.2794647272,"13:50:00","13:17:00",1980
"230","1096979",10.2794647272,"12:50:00","12:17:00",1980
"231","1096980",10.2794647272,"11:50:00","11:17:00",1980
"232","1096981",10.2794647272,"10:50:00","10:17:00",1980
