route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
10899,10,1211494,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91386,122590
10899,10,1211495,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91394,122590
10899,10,1211496,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91398,122590
10899,10,1211497,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91376,122590
10899,10,1211498,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91397,122589
10899,10,1211499,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91395,122590
10899,10,1211500,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91396,122589
10899,10,1211501,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91393,122588
10899,10,1211502,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91395,122589
10899,10,1211503,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91386,122589
10899,10,1211504,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91395,122588
10899,10,1211505,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91386,122588
10899,10,1211506,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91394,122589
10899,10,1211507,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91395,122588
10899,10,1211508,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91386,122588
10899,10,1211509,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91396,122590
10899,10,1211510,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91386,122590
10899,10,1211511,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91394,122588
10899,10,1211512,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91386,122590
10899,10,1211513,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91394,122590
10899,10,1211514,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91394,122588
10899,10,1211515,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91386,122587
10899,10,1211516,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91394,122587
10899,10,1211517,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91375,122587
10899,10,1211518,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91395,122587
10899,10,1211519,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91376,122588
10899,10,1211520,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91395,122590
10899,10,1211521,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91398,122588
10899,10,1211522,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91386,122593
10899,10,1211523,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91395,122591
10899,10,1211524,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91394,122590
10899,10,1211525,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91398,122592
10899,10,1211526,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91398,122591
10899,10,1211527,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91398,122591
10899,10,1211528,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91395,122593
10899,10,1211529,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91395,122592
10899,10,1211530,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91398,122593
10899,10,1211531,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91398,122593
10900,11,1211543,333 - NEWFIELD AVE-Newfield Green,0,91390,122596
10900,11,1211544,333 - NEWFIELD AVE-Newfield Green,0,91390,122596
10900,11,1211545,333 - NEWFIELD AVE-Newfield Green,0,91390,122596
10900,11,1211546,333 - NEWFIELD AVE-Newfield Green,0,91390,122596
10900,11,1211547,333 - NEWFIELD AVE-Newfield Green,0,91390,122596
10900,11,1211548,333 - NEWFIELD AVE-Newfield Green,0,91390,122596
10900,11,1211549,333 - NEWFIELD AVE-Newfield Green,0,91390,122596
10900,11,1211550,333 - NEWFIELD AVE-Newfield Green,0,91390,122596
10900,11,1211551,333 - NEWFIELD AVE-Newfield Green,0,91390,122596
10900,11,1211552,333 - NEWFIELD AVE-Newfield Green,0,91390,122596
