"","route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id","distance","end","start","trip_duration","dwell_minutes","driving_minutes","total_dist"
"92","9948","14","1096795","501 Arch St-Downtown New Britain-Dwntn NB Sta",1,"83342","114179",15.4213,"11:53:00","11:30:00",1380,303,904,584.2106
"93","9948","14","1096796","501 Arch St-Downtown New Britain-Dwntn NB Sta",1,"83343","114179",15.4213,"10:53:00","10:30:00",1380,303,904,584.2106
"94","9948","14","1096797","501 Arch St-Downtown New Britain-Dwntn NB Sta",1,"83342","114179",15.4213,"9:53:00","9:30:00",1380,303,904,584.2106
"95","9948","14","1096798","501 Arch St-Downtown New Britain-Dwntn NB Sta",1,"83343","114179",15.4213,"8:53:00","8:30:00",1380,303,904,584.2106
"96","9948","14","1096799","501 Arch St-Downtown New Britain-Dwntn NB Sta",1,"83342","114179",15.4213,"7:53:00","7:30:00",1380,303,904,584.2106
"97","9949","15","1096818","502 BLACK ROCK AVE-Plainville Ctr-Bristol Hall",0,"83345","114182",16.0953,"7:08:00","6:30:00",2280,282,975,410.7545
"98","9949","15","1096819","502 BLACK ROCK AVE-Plainville Ctr-Bristol Hall",0,"83345","114182",16.0953,"25:08:00","24:30:00",2280,282,975,410.7545
"99","9949","15","1096820","502 BLACK ROCK AVE-Plainville Ctr-Bristol Hall",0,"83345","114182",16.0953,"23:38:00","23:00:00",2280,282,975,410.7545
"100","9949","15","1096821","502 BLACK ROCK AVE-Plainville Ctr-Bristol Hall",0,"83345","114182",16.0953,"22:08:00","21:30:00",2280,282,975,410.7545
"101","9949","15","1096822","502 BLACK ROCK AVE-Plainville Ctr-Bristol Hall",0,"83345","114182",16.0953,"20:38:00","20:00:00",2280,282,975,410.7545
"102","9949","15","1096823","502 BLACK ROCK AVE-Plainville Ctr-Bristol Hall",0,"83345","114182",16.0953,"19:08:00","18:30:00",2280,282,975,410.7545
"103","9949","15","1096824","502 BLACK ROCK AVE-Plainville Ctr-Bristol Hall",0,"83345","114182",16.0953,"14:38:00","14:00:00",2280,282,975,410.7545
"104","9949","15","1096825","502 BLACK ROCK AVE-Plainville Ctr-Bristol Hall",0,"83345","114182",16.0953,"17:38:00","17:00:00",2280,282,975,410.7545
"105","9949","15","1096826","502 BLACK ROCK AVE-Plainville Ctr-Bristol Hall",0,"83345","114182",16.0953,"16:08:00","15:30:00",2280,282,975,410.7545
"106","9949","15","1096827","502 BLACK ROCK AVE-Plainville Ctr-Bristol Hall",0,"83345","114182",16.0953,"13:08:00","12:30:00",2280,282,975,410.7545
"107","9949","15","1096828","502 BLACK ROCK AVE-Plainville Ctr-Bristol Hall",0,"83345","114182",16.0953,"11:38:00","11:00:00",2280,282,975,410.7545
"108","9949","15","1096829","502 BLACK ROCK AVE-Plainville Ctr-Bristol Hall",0,"83345","114182",16.0953,"10:08:00","9:30:00",2280,282,975,410.7545
"109","9949","15","1096830","502 BLACK ROCK AVE-Plainville Ctr-Bristol Hall",0,"83345","114182",16.0953,"8:38:00","8:00:00",2280,282,975,410.7545
"110","9949","15","1096831","502 BLACK ROCK AVE-Downtown New Britain",1,"83345","114183",15.5012,"6:27:00","5:50:00",2220,282,975,410.7545
"111","9949","15","1096832","502 BLACK ROCK AVE-Downtown New Britain",1,"83345","114183",15.5012,"24:22:00","23:45:00",2220,282,975,410.7545
"112","9949","15","1096833","502 BLACK ROCK AVE-Downtown New Britain",1,"83345","114183",15.5012,"22:52:00","22:15:00",2220,282,975,410.7545
"113","9949","15","1096834","502 BLACK ROCK AVE-Downtown New Britain",1,"83345","114183",15.5012,"21:22:00","20:45:00",2220,282,975,410.7545
"114","9949","15","1096835","502 BLACK ROCK AVE-Downtown New Britain",1,"83345","114183",15.5012,"19:52:00","19:15:00",2220,282,975,410.7545
"115","9949","15","1096836","502 BLACK ROCK AVE-Downtown New Britain",1,"83345","114183",15.5012,"18:22:00","17:45:00",2220,282,975,410.7545
"116","9949","15","1096837","502 BLACK ROCK AVE-Downtown New Britain",1,"83345","114183",15.5012,"15:22:00","14:45:00",2220,282,975,410.7545
"117","9949","15","1096838","502 BLACK ROCK AVE-Downtown New Britain",1,"83345","114183",15.5012,"16:52:00","16:15:00",2220,282,975,410.7545
"118","9949","15","1096839","502 BLACK ROCK AVE-Downtown New Britain",1,"83345","114183",15.5012,"13:52:00","13:15:00",2220,282,975,410.7545
"119","9949","15","1096840","502 BLACK ROCK AVE-Downtown New Britain",1,"83345","114183",15.5012,"12:22:00","11:45:00",2220,282,975,410.7545
"120","9949","15","1096841","502 BLACK ROCK AVE-Downtown New Britain",1,"83345","114183",15.5012,"10:52:00","10:15:00",2220,282,975,410.7545
"121","9949","15","1096842","502 BLACK ROCK AVE-Downtown New Britain",1,"83345","114183",15.5012,"9:22:00","8:45:00",2220,282,975,410.7545
"122","9949","15","1096843","502 BLACK ROCK AVE-Downtown New Britain",1,"83345","114183",15.5012,"7:52:00","7:15:00",2220,282,975,410.7545
"123","9949","16","1096844","502 BLACK ROCK AVE-Plainville Ctr-Bristol Hall",0,"83346","114182",16.0953,"20:38:00","20:00:00",2280,637,675,284.3685
"124","9949","16","1096845","502 BLACK ROCK AVE-Plainville Ctr-Bristol Hall",0,"83346","114182",16.0953,"19:08:00","18:30:00",2280,637,675,284.3685
"125","9949","16","1096846","502 BLACK ROCK AVE-Plainville Ctr-Bristol Hall",0,"83346","114182",16.0953,"14:38:00","14:00:00",2280,637,675,284.3685
"126","9949","16","1096847","502 BLACK ROCK AVE-Plainville Ctr-Bristol Hall",0,"83346","114182",16.0953,"17:38:00","17:00:00",2280,637,675,284.3685
"127","9949","16","1096848","502 BLACK ROCK AVE-Plainville Ctr-Bristol Hall",0,"83346","114182",16.0953,"16:08:00","15:30:00",2280,637,675,284.3685
"128","9949","16","1096849","502 BLACK ROCK AVE-Plainville Ctr-Bristol Hall",0,"83346","114182",16.0953,"13:08:00","12:30:00",2280,637,675,284.3685
