"","trip_id","distance","end","start","trip_duration"
"10239","1206324",5.9615,"9:13:00","9:00:00",780
"10240","1206325",5.9615,"10:13:00","10:00:00",780
"10241","1206326",5.9615,"11:13:00","11:00:00",780
"10242","1206327",5.9615,"12:13:00","12:00:00",780
"10243","1206328",5.9615,"13:13:00","13:00:00",780
"10244","1206329",5.9615,"14:13:00","14:00:00",780
"10245","1206330",5.9615,"15:13:00","15:00:00",780
"10246","1206331",5.9615,"16:13:00","16:00:00",780
"10247","1206332",5.9615,"17:13:00","17:00:00",780
"10248","1206333",5.6004,"7:28:00","7:15:00",780
"10249","1206334",5.6004,"8:28:00","8:15:00",780
"10250","1206335",5.6004,"9:28:00","9:15:00",780
"10251","1206336",5.6004,"10:28:00","10:15:00",780
"10252","1206337",5.6004,"11:28:00","11:15:00",780
"10253","1206338",5.6004,"12:28:00","12:15:00",780
"10254","1206339",5.6004,"13:28:00","13:15:00",780
"10255","1206340",5.6004,"14:28:00","14:15:00",780
"10256","1206341",7.9001,"15:28:00","15:13:00",900
"10257","1206342",7.9001,"16:28:00","16:13:00",900
"10258","1206343",7.9001,"17:28:00","17:13:00",900
"10259","1206344",4.4161,"9:53:00","9:40:00",780
"10260","1206345",4.4161,"11:23:00","11:10:00",780
"10261","1206346",4.4161,"12:53:00","12:40:00",780
"10262","1206347",4.4161,"14:23:00","14:10:00",780
"10263","1206348",4.4161,"15:43:00","15:30:00",780
"10264","1206349",4.4161,"16:58:00","16:45:00",780
"10265","1206350",5.5268,"10:13:00","10:00:00",780
"10266","1206351",5.5268,"11:43:00","11:30:00",780
"10267","1206352",5.5268,"13:13:00","13:00:00",780
"10268","1206353",5.5268,"14:43:00","14:30:00",780
"10269","1206354",5.5268,"16:03:00","15:50:00",780
"10270","1206355",5.5268,"17:18:00","17:05:00",780
"10271","1206356",4.4161,"8:13:00","8:00:00",780
"10272","1206357",4.4161,"9:13:00","9:00:00",780
"10273","1206358",4.4161,"10:43:00","10:30:00",780
"10274","1206359",4.4161,"11:43:00","11:30:00",780
"10275","1206360",4.4161,"12:43:00","12:30:00",780
"10276","1206361",4.4161,"13:43:00","13:30:00",780
"10277","1206362",4.4161,"14:43:00","14:30:00",780
"10278","1206363",4.4161,"16:03:00","15:50:00",780
"10279","1206364",4.4161,"17:13:00","17:00:00",780
"10280","1206365",5.5268,"6:28:00","6:15:00",780
"10281","1206366",5.5268,"8:28:00","8:15:00",780
"10282","1206367",5.5268,"9:28:00","9:15:00",780
"10283","1206368",5.5268,"10:58:00","10:45:00",780
"10284","1206369",5.5268,"11:58:00","11:45:00",780
"10285","1206370",5.5268,"12:58:00","12:45:00",780
"10286","1206371",5.5268,"13:58:00","13:45:00",780
"10287","1206372",5.5268,"14:58:00","14:45:00",780
"10288","1206373",5.5268,"16:18:00","16:05:00",780
"10289","1206374",5.5268,"17:28:00","17:15:00",780
"10290","1206375",8.9771,"10:35:00","10:20:00",900
"10291","1206376",8.9771,"12:05:00","11:50:00",900
"10292","1206377",8.9771,"13:35:00","13:20:00",900
