GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US090034771011,090034771011,"Block Group 1, Census Tract 4771.01, Hartford County, Connecticut",1284,200,1239,208,37,52,0,12,0,12,0,12,8,13,0,12,0,12,0,12
1500000US090034771012,090034771012,"Block Group 2, Census Tract 4771.01, Hartford County, Connecticut",1863,204,1790,194,0,12,0,12,73,73,0,12,0,12,0,12,0,12,0,12
1500000US090034771013,090034771013,"Block Group 3, Census Tract 4771.01, Hartford County, Connecticut",922,158,891,162,0,12,0,12,8,11,0,12,0,12,23,37,0,12,23,37
1500000US090034771021,090034771021,"Block Group 1, Census Tract 4771.02, Hartford County, Connecticut",1346,349,1309,337,9,20,0,12,0,12,0,12,0,12,28,36,0,12,28,36
1500000US090034771022,090034771022,"Block Group 2, Census Tract 4771.02, Hartford County, Connecticut",2618,534,2435,543,0,12,0,12,67,74,0,12,0,12,116,121,0,12,116,121
1500000US090034771023,090034771023,"Block Group 3, Census Tract 4771.02, Hartford County, Connecticut",1784,325,1548,332,150,167,0,12,14,24,0,12,59,93,13,22,0,12,13,22
1500000US090034771024,090034771024,"Block Group 4, Census Tract 4771.02, Hartford County, Connecticut",2988,372,1054,260,1115,359,17,24,175,163,0,12,486,100,141,77,60,52,81,53
1500000US090034772001,090034772001,"Block Group 1, Census Tract 4772, Hartford County, Connecticut",856,210,837,202,10,17,0,12,0,12,0,12,0,12,9,14,0,12,9,14
1500000US090034772002,090034772002,"Block Group 2, Census Tract 4772, Hartford County, Connecticut",1423,235,1423,235,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US090034772003,090034772003,"Block Group 3, Census Tract 4772, Hartford County, Connecticut",591,188,559,183,8,12,0,12,0,12,0,12,0,12,24,30,0,12,24,30
1500000US090034803001,090034803001,"Block Group 1, Census Tract 4803, Hartford County, Connecticut",1046,169,1001,166,0,12,0,12,0,12,0,12,40,60,5,7,0,12,5,7
1500000US090034803002,090034803002,"Block Group 2, Census Tract 4803, Hartford County, Connecticut",1312,220,1091,179,47,36,0,12,112,167,0,12,35,54,27,34,0,12,27,34
1500000US090034804001,090034804001,"Block Group 1, Census Tract 4804, Hartford County, Connecticut",1140,210,1072,211,39,68,0,12,0,12,0,12,29,33,0,12,0,12,0,12
